Source Name,Office,Office Code,Raw Maker,Maker,Fuel Type,Jan,Feb,Mar,Apr,May,Jun,Total,Calculated Total,Total Variance,Total Check
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,OTHERS,OTHERS,Diesel,0,1,2,0,0,0,3,3,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,TATA MOTORS PASSENGER VEHICLES LTD,TATA MOTORS PASSENGER VEHICLES,Diesel,2,0,2,1,2,0,7,7,0,OK
RTA JANGOAN - TG27( 27-FEB-2026 ).xlsx,RTA JANGOAN,TG27,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel,3,0,1,0,0,0,4,4,0,OK
RTA JAYASHANKAR - TG25( 27-FE.xlsx,RTA JAYASHANKAR - TG25( 27-FE,TG25,HYUNDAI MOTOR INDIA LTD,HYUNDAI,Diesel,3,2,3,0,2,0,10,10,0,OK
RTA JAYASHANKAR - TG25( 27-FE.xlsx,RTA JAYASHANKAR - TG25( 27-FE,TG25,KIA INDIA PRIVATE LIMITED,KIA,Diesel,1,0,1,0,2,0,4,4,0,OK
RTA JAYASHANKAR - TG25( 27-FE.xlsx,RTA JAYASHANKAR - TG25( 27-FE,TG25,KINETIC MOTOR COMPANY LIMITED,KINETIC,Diesel,0,2,0,0,0,0,2,2,0,OK
RTA JAYASHANKAR - TG25( 27-FE.xlsx,RTA JAYASHANKAR - TG25( 27-FE,TG25,MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA,Diesel,6,7,2,3,2,0,20,20,0,OK
RTA JAYASHANKAR - TG25( 27-FE.xlsx,RTA JAYASHANKAR - TG25( 27-FE,TG25,MERCEDES-BENZ INDIA PVT LTD,MERCEDES-BENZ,Diesel,1,0,0,0,0,0,1,1,0,OK
RTA JAYASHANKAR - TG25( 27-FE.xlsx,RTA JAYASHANKAR - TG25( 27-FE,TG25,OTHERS,OTHERS,Diesel,0,2,0,0,0,0,2,2,0,OK
RTA JAYASHANKAR - TG25( 27-FE.xlsx,RTA JAYASHANKAR - TG25( 27-FE,TG25,TATA MOTORS PASSENGER VEHICLES LTD,TATA MOTORS PASSENGER VEHICLES,Diesel,4,2,4,0,1,0,11,11,0,OK
RTA JAYASHANKAR - TG25( 27-FE.xlsx,RTA JAYASHANKAR - TG25( 27-FE,TG25,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel,1,0,0,1,2,0,4,4,0,OK
RTA JOGULAMBA - TG33( 27-FEB-.xlsx,RTA JOGULAMBA - TG33( 27-FEB-,TG33,FORCE MOTORS LIMITED,FORCE MOTORS,Diesel,1,0,0,1,0,0,2,2,0,OK
RTA JOGULAMBA - TG33( 27-FEB-.xlsx,RTA JOGULAMBA - TG33( 27-FEB-,TG33,HYUNDAI MOTOR INDIA LTD,HYUNDAI,Diesel,4,2,0,2,2,1,11,11,0,OK
RTA JOGULAMBA - TG33( 27-FEB-.xlsx,RTA JOGULAMBA - TG33( 27-FEB-,TG33,KIA INDIA PRIVATE LIMITED,KIA,Diesel,0,0,1,3,3,0,7,7,0,OK
RTA JOGULAMBA - TG33( 27-FEB-.xlsx,RTA JOGULAMBA - TG33( 27-FEB-,TG33,KINETIC MOTOR COMPANY LIMITED,KINETIC,Diesel,0,0,0,2,0,0,2,2,0,OK
RTA JOGULAMBA - TG33( 27-FEB-.xlsx,RTA JOGULAMBA - TG33( 27-FEB-,TG33,MAHINDRA & MAHINDRA LIMITED,MAHINDRA & MAHINDRA,Diesel,5,4,4,7,6,1,27,27,0,OK
RTA JOGULAMBA - TG33( 27-FEB-.xlsx,RTA JOGULAMBA - TG33( 27-FEB-,TG33,OTHERS,OTHERS,Diesel,1,1,4,0,0,0,6,6,0,OK
RTA JOGULAMBA - TG33( 27-FEB-.xlsx,RTA JOGULAMBA - TG33( 27-FEB-,TG33,TATA MOTORS PASSENGER VEHICLES LTD,TATA MOTORS PASSENGER VEHICLES,Diesel,5,3,4,0,2,1,15,15,0,OK
RTA JOGULAMBA - TG33( 27-FEB-.xlsx,RTA JOGULAMBA - TG33( 27-FEB-,TG33,TOYOTA KIRLOSKAR MOTOR PVT LTD,TOYOTA,Diesel,0,0,1,0,0,0,1,1,0,OK
RTA JOGULAMBA - TG33( 27-FEB-2026 ).xlsx,RTA JOGULAMBA,TG33,FORCE MOTORS LIMITED,FORCE MOTORS,Diesel,1,0,0,1,0,0,2,2,0,OK
